artist_name,track_name,genre,tempo,danceability,energy,valence,loudness,acousticness,instrumentalness,liveness,speechiness,id
Bad Boy Bill,Do What U Like,chicago-house,114.963,0.704,0.948,0.394,-3.905,0.00597,0.352,0.337,0.0544,75SDKGHJmufve4qs3TPEvO
Various Artists,Finally,chicago-house,120.12,0.761,0.718,0.876,-10.279,0.00459,5.95e-06,0.0333,0.0366,2WpCr1ls4bjL54NAcN5DAA
Dam Swindle,Woman,chicago-house,115.988,0.903,0.797,0.488,-7.523,0.0023,0.366,0.926,0.218,69OXSx58gJfQiNhlX38Bzg
Various Artists,House Sound of Chicago - A New Chapter Mix,chicago-house,125.007,0.81,0.799,0.49,-9.851,0.000157,0.892,0.105,0.0603,0djq2YT8ARv6cwTx6ZSese
Nicolas Jaar,Time for Us,chicago-house,113.995,0.828,0.271,0.233,-13.061,0.395,0.819,0.065,0.0532,798mI116dJdZ12n9CkdflI
Various Artists,Stress Or Justice - Pierre Deutschmann Mix,chicago-house,125.006,0.803,0.502,0.522,-10.099,0.000928,0.873,0.11,0.0503,1AbCLTGnJPO2mrAlItCXeK
Joe Smooth,Inside My Mind,chicago-house,122.229,0.806,0.68,0.798,-16.471,0.000956,0.756,0.0608,0.0679,2tsc2sF3FG9Pey7C9VphnP
Various Artists,Herehear - Are You There...,chicago-house,131.913,0.718,0.91,0.862,-6.19,0.0266,0.0515,0.105,0.0616,0WXyo7bs0rdEghb8Lfhllv
Various Artists,Most Wanted,chicago-house,122.538,0.975,0.925,0.585,-10.59,0.000299,2.04e-05,0.225,0.183,4cW8nWsG0grlWpLaXCHTUs
"Farley ""Jackmaster"" Funk",The Acid Life (Extended Version),chicago-house,123.247,0.745,0.982,0.434,-7.41,0.000196,0.86,0.0659,0.0705,1C5mlEzLQp7tyjoHCyPk5r
Blondie,Rapture - Remastered 2001,chicago-house,107.523,0.7,0.845,0.81,-5.69,0.403,0.000586,0.34,0.0331,0D6qZlc6vNR7PDW2RKGPsV
Dam Swindle,Sometimes,chicago-house,121.948,0.538,0.526,0.137,-11.415,0.00371,0.645,0.168,0.0561,7fQWnbbQr6e7gOhMhTJ9KY
Various Artists,Domesticated,chicago-house,123.978,0.694,0.67,0.141,-9.075,0.00658,0.942,0.0588,0.0552,1VbfW1y43K7XUcKMZjBtre
John Lee Hooker,Life Is Like That,chicago-house,74.844,0.579,0.271,0.476,-9.131,0.95,0.414,0.331,0.0328,54EZLepyNfQXY7fX1Ty42W
Various Artists,Feel My M.F. Bass,chicago-house,134.032,0.872,0.857,0.511,-7.027,4.08e-05,0.801,0.0759,0.0632,718wS0FQEL7uAORSw0nkHd
Various Artists,Hot Hands,chicago-house,123.618,0.647,0.993,0.398,-6.736,0.0405,0.857,0.117,0.0994,1FDTcJlbtESVXQbldLFPgO
Various Artists,Come Get My Lovin',chicago-house,122.907,0.803,0.827,0.458,-6.743,0.000127,0.181,0.0682,0.0411,1pMX7Y4V4uRV1z11Ap2tMs
Various Artists,What's Up Rocky,chicago-house,122.744,0.768,0.754,0.966,-15.255,0.0839,0.252,0.0453,0.0849,6HuS7VVP3elJORwlhoBvsR
Stephan Bodzin,Bremen Ost,chicago-house,126.942,0.726,0.602,0.103,-11.334,0.164,0.901,0.0932,0.0995,20gFQeaikLa2Ntag4ohjNn
Boo Williams,Home Town Chicago,chicago-house,123.932,0.606,0.75,0.439,-10.568,0.0209,0.243,0.0573,0.0418,1VqsDcSfKxLOF70BDWKTMV
Various Artists,That's the Way Love Is - Deep House Mix-Extended Version,chicago-house,119.732,0.703,0.541,0.961,-18.39,0.0515,0.274,0.113,0.0469,02mDVNH84zLwiuVPbxDBMv
Loleatta Holloway,Love Sensation - Original Mix,chicago-house,115.908,0.757,0.862,0.788,-4.468,0.0623,0.0267,0.16,0.0556,22rWRvStOEkksmYOTEuVEG
Frankie Knuckles,Can You Feel It (feat. Robert Owens) - Alternate,chicago-house,112.601,0.669,0.665,0.443,-11.987,0.717,7.64e-05,0.109,0.315,33W7GfpYCOqgVbXksbORah
Virgo,Silence,chicago-house,115.632,0.759,0.821,0.146,-8.399,0.131,0.942,0.114,0.0472,0cXPIwKwKbMWBvVYcdvLIy
Shannon,"Let The Music Play (12"" Mix)",chicago-house,114.898,0.536,0.843,0.797,-7.248,0.0196,0.00087,0.237,0.0371,10l4nUkfIt8AgevPyvzi7f
Bad Boy Bill,Jack It All Night Long,chicago-house,125.039,0.61,0.734,0.55,-7.108,0.000179,0.00365,0.102,0.0392,31xfVJfEfvjqKChKF55SnN
Lisa Lisa & Cult Jam,Can You Feel the Beat,chicago-house,122.552,0.708,0.734,0.761,-13.244,0.0451,0.00724,0.788,0.0529,5WwZeusFlxOKmTW25ImmgM
Teddy Pendergrass,"Don't Leave Me This Way, Pts. 1 & 2 (feat. Teddy Pendergrass)",chicago-house,121.216,0.461,0.663,0.649,-10.26,0.272,3.5e-06,0.108,0.0406,0ZZJ72oEeQbKRnubwpApmv
MC Tunes,The Only Rhyme That Bites,chicago-house,62.663,0.56,0.934,0.7,-5.856,0.00146,0.0,0.716,0.186,2J2lPvgA4wy2sgWLRGcZtd
