Name,Id,Artists,Artists_Id,Release,Duration,Genre,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valeance,Tempo
Take Me Away,4alnYO7vhfEvNarX4SgBch,['Third Party'],['2J80qXI4NHKpq5RT3xUF7V'],3/27/20,234012,edm,0.448,0.911,1,-3.095,0.0408,0.0214,0,0.059,0.255,127.127
Bassman,0X8PiJHcTFmmUwsGpvtFik,"['Blasterjaxx', 'Harris & Ford']","['37awA8DFCAnCCL7aqYbDnD', '4FDj6mh458K7m9Txwyj2rt']",8/20/21,160000,edm,0.536,0.911,0,-4.158,0.0298,0.0327,0.00528,0.302,0.41,149.99
Old Thing Back (feat. Ja Rule and Ralph Tresvant),6HTJZ0TQJVMSKkUGzAOe2h,"['Matoma', 'The Notorious B.I.G.', 'Ja Rule', 'Ralph Tresvant']","['4YXycRbyyAE0wozTk7QMEq', '5me0Irg2ANcsgc93uaYrpb', '1J2VVASYAamtQ3Bt8wGgA6', '6MLDcHrNh4OqxDZAjMt5pt']",2/17/15,321649,edm,0.805,0.858,0,-3.067,0.105,0.194,7.89E-06,0.256,0.523,97.033
Drop That Low (When I Dip),0WSjVLITbxV6kVXndziQDm,['Tujamo'],['2vVNxGBvKRQMWwI5c8KmYh'],4/1/16,160000,edm,0.586,0.896,5,-4.132,0.372,0.00945,0.836,0.121,0.103,125.744
Into You,2PhlrsYp7TSkK96ngbmL38,"['Matisse & Sadko', 'Hanne Mjøen']","['2QMCcKIPHnjQaPPgoEst88', '2xDZ8qyyE2Ti4wL1Ob1T7V']",12/8/17,161538,edm,0.553,0.687,8,-6.4,0.034,0.0336,0,0.125,0.278,156
No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,"['Cheat Codes', 'Demi Lovato']","['7DMveApC7UnC2NPfPvlHSU', '6S2OmqARrzebs0tKUEyXyp']",3/31/17,223504,edm,0.741,0.667,10,-5.445,0.134,0.0575,0,0.106,0.595,112.956
When The Summer Dies,0mjGSve5fXuesAutgeN9OI,"['deadmau5', 'Lights']","['2CIMQHirSU0MQqyYHq0eOx', '5pdyjBIaY5o1yOyexGIUc6']",7/16/21,329531,edm,0.795,0.642,1,-7.094,0.0516,0.000472,0.0522,0.226,0.446,127.986
The Prince,5MT2w1BexEAWjJ62OOHE6q,['Madeon'],['4pb4rqWSoGUgxm63xmJ8xc'],8/14/20,222809,edm,0.61,0.781,2,-5.694,0.0379,0.00361,0.135,0.323,0.299,95.003
Lied To,45zbPKZIdjYvo1Q14z6uQx,"['Curbi', 'Jess Ball']","['2XiiUuK68XNdHaHOAF5hnT', '5HjbKQXMhybveoJOsOXS07']",12/11/20,160786,edm,0.778,0.567,3,-5.174,0.0647,0.161,3.51E-05,0.107,0.327,127.991
Move All Night,6RKFXPdoCBRcLljsxKZUNw,"['SNBRN', 'Autograf', 'KOLE']","['2zJ8chFLjiBHRNchfevMRI', '0FVj4JuzTyudaXAwfqDQ20', '7qie8FfXQTHp0azRKySWd8']",10/12/18,197419,edm,0.797,0.69,7,-5.845,0.037,0.248,0.0496,0.132,0.184,124
DJ Turn It Up,1ivuWgxFQb2xzxVNSlB1hF,['Yellow Claw'],['47z7ZrgFoBvVpCnElCE3Zh'],10/15/13,211777,edm,0.829,0.695,1,-5.561,0.0473,0.000956,0.178,0.112,0.369,102.018
Alive,5bFuHlXKw66Uu2cHKn5bf8,"['Zeds Dead', 'MKLA']","['67qogtRNI0GjUr8PlaG6Zh', '57Vnemieu10x71jR2UWc4o']",6/30/21,197389,edm,0.618,0.758,8,-7.996,0.0336,0.0087,0.102,0.147,0.144,120.987
Scrub The Ground (feat. DJ Funk),0fbXFYtHPpq5fVNRGjxZrC,"['Chocolate Puma', 'Tommie Sunshine', 'DJ Funk']","['5Aw0IGM5JS3FuTgtRsDWGA', '42tlZWSz1V6Rsqds29GcRo', '6teHVusq7aOvo7Tjo5Cevs']",10/16/15,168937,edm,0.786,0.887,11,-3.886,0.0518,0.0263,0.812,0.338,0.682,126.982
Call on Me - Radio Mix,1xNcBAoUw8Hz6LqK2jt4Ff,['Eric Prydz'],['5sm0jQ1mq0dusiLtDJ2b4R'],9/10/04,171360,edm,0.597,0.837,10,-6.518,0.375,0.00427,0.00115,0.839,0.447,126.342
