artist_name,track_name,genre,tempo,danceability,energy,valence,id
Dam Swindle,The Make Up - Original Mix,chicago-house,123.011,0.793,0.872,0.334,6YuTukyIl3K7mZPdrcq5Ei
John Lee Hooker,Life Is Like That,chicago-house,74.844,0.579,0.271,0.476,54EZLepyNfQXY7fX1Ty42W
Various Artists,Higgledy Piggledy,chicago-house,129.655,0.763,0.931,0.808,0vBtfXrvbQRsZJ1oaaEpU4
Various Artists,Take Me Back,chicago-house,122.928,0.806,0.495,0.132,3PtSrtGDTKGN0dkdGHUsbd
"Farley ""Jackmaster"" Funk",Give Yourself To Me,chicago-house,117.402,0.781,0.894,0.854,4gr5ACQLjQKuhHSrLptMiG
Various Artists,Travel to Chicago,chicago-house,124.998,0.628,0.902,0.891,3F8SpboiU76iuQAKroEbOb
Nicolas Jaar,Time for Us,chicago-house,113.995,0.828,0.271,0.233,798mI116dJdZ12n9CkdflI
Exposé,"Point of No Return - 7"" Version",chicago-house,120.202,0.596,0.829,0.802,4AMJpEnPy0sm65vT4KPZbc
Stephan Bodzin,Bremen Ost,chicago-house,126.942,0.726,0.602,0.103,20gFQeaikLa2Ntag4ohjNn
Divine,Native Love,chicago-house,128.082,0.632,0.811,0.696,3t6MFAwXMixSSQe4jMRCVl
Rhythm On The Loose,Break Of Dawn (Original Mix),chicago-house,125.876,0.622,0.647,0.375,4OaQQ5OvgePFIjEDWjddPO
Jimpster,Towards the Seer,chicago-house,123.0,0.543,0.658,0.343,6TLENpXTKgHh6U1FGEhCku
Robert Owens,I'll Be Your Friend - DEF Mix,chicago-house,121.844,0.753,0.84,0.584,5ZYVjWoREJbwcU9EiiSKZF
Adeva,Respect - The Dancing Danny D Remix,chicago-house,118.508,0.824,0.547,0.812,1GhkjKzBoLUMNI9ykOqjZB
D.J. Pierre,ACiD - Pierre's ACiD FACE Mix,chicago-house,128.014,0.748,0.624,0.647,6u4REq4x66khAf6gjYY4k6
Various Artists,Shake & Pop,chicago-house,129.027,0.863,0.567,0.257,39lPOusXnJRAd3UbZrYfv8
Various Artists,Pump Up Chicago,chicago-house,126.313,0.766,0.842,0.542,4rz7ViPvgVMYXpmZVRbrl6
Various Artists,When A Thought Becomes You,chicago-house,122.235,0.848,0.626,0.95,2iX9aSAZmSxZ5dbLAqKbUO
dj funk,Chicago M/F,chicago-house,152.967,0.61,0.893,0.393,6xcXNdDzw9ccBoq9ipDQG6
Various Artists,Face It,chicago-house,120.757,0.81,0.549,0.803,1wczHBL2SkshBnEm7KastS
Brenda Russell,Way Back When,chicago-house,118.541,0.77,0.448,0.9,1taGd33MGAUJEXmXwiFJbg
Various Artists,Can You Feel It,chicago-house,119.457,0.644,0.695,0.468,3nRXUS1Rtwi5tr9eNTebNg
Various Artists,Da Bomb,chicago-house,135.031,0.791,0.792,0.576,5bcv4k6BKLFyMiOhkKnMSk
Various Artists,Plastic Dreams,chicago-house,128.853,0.767,0.622,0.26,21GpxnPPlDDINYYJCxfjiK
Various Artists,State of 727 West,chicago-house,122.675,0.553,0.493,0.643,27wE0v7twcLAO3necch1xe
Dam Swindle,Woman,chicago-house,115.988,0.903,0.797,0.488,69OXSx58gJfQiNhlX38Bzg
Phuture,Rise from Your Grave - Wake da f___up mix,chicago-house,123.925,0.76,0.753,0.595,2eVGeBWLUQxeVgp2a49W24
New Order,"Blue Monday '88 - 12"" Version",chicago-house,130.425,0.693,0.899,0.945,1nMPAoLnWTBuxH4G5236Ip
Deee-Lite,Build the Bridge,chicago-house,120.374,0.804,0.486,0.466,2lI7ELuYNnLa8kOXhB3N35
Man Parrish,Boogie Down Bronx,chicago-house,111.839,0.862,0.639,0.469,2CbgPrMwa0UWUdppsOIoTR
Bad Boy Bill,Fast Life,chicago-house,127.018,0.801,0.517,0.69,5YnC6mEPD822KrmmlBM6VA
DJ Marley Marl,When You Touch Me,chicago-house,126.929,0.708,0.751,0.439,0JNDnEI6wspaSj3LsCZWBW
Various Artists,A Path - Original Mix,chicago-house,121.673,0.705,0.45,0.809,5T42BKBpIOkt2YnqKA0hC6
Marshall Jefferson,ride the rhythm,chicago-house,121.949,0.751,0.627,0.547,73XUsynQImneAv8C0Cw8Di
Bad Boy Bill,Phreaky Deaky,chicago-house,131.263,0.71,0.934,0.618,7CCS3ECbqjVLZ0zRoHkvSa
Various Artists,Percolator - Remastered Original Mix,chicago-house,125.997,0.956,0.764,0.534,3QrLSBVllkJv1R0rrBppDk
Adonis,We're Rockin' Down The House,chicago-house,122.485,0.804,0.448,0.479,1EsMJkbO5pMD1XDbuvEiv3
Various Artists,Dub Love (Full Version),chicago-house,125.047,0.725,0.709,0.393,7EbIzEnaTofX41GQYIfs4v
Frankie Knuckles,Right Thing,chicago-house,118.364,0.726,0.743,0.961,7D3MzIYuc0R1U1yDKAkT2U
Happy Mondays,W.F.L. - Think About the Future Mix,chicago-house,101.837,0.738,0.689,0.406,3baOmVbgK0nr60hQwvvrhk
Diana Ross,The Boss,chicago-house,123.65,0.641,0.915,0.784,2w1UUOaKi5TGSphqafApUc
Mr. Fingers,Survivor,chicago-house,101.092,0.627,0.408,0.221,5EYO6nUHa3WM5fNgBduNao
Cassius,303 Indigenous,chicago-house,126.661,0.779,0.835,0.711,6ennIASwRWNAF4uovyzfnf
Hercules & Love Affair,The Acieed That Ate New York,chicago-house,122.683,0.802,0.972,0.547,40zZR0N5PxMWDhww6Fxrj7
Ten City,Where Do We Go?,chicago-house,114.621,0.792,0.569,0.961,4N58shLUiu36Sc0tbWnAG3
Marc Romboy,Mab,chicago-house,124.985,0.79,0.513,0.198,1SlFtTdhl7aJRwvSWyoj2B
Earth People,Reach up to Mars (Martian Mix),chicago-house,121.165,0.783,0.585,0.336,2kBhteqbcAnPUCP3Drf1Io
Various Artists,Let's Get Busy,chicago-house,125.214,0.897,0.795,0.703,4iPFwW7hy1lba8OGCKKsIx
Various Artists,Starter,chicago-house,122.019,0.811,0.732,0.49,3tptHoLDWqjbP8JWbd7UCP
Various Artists,Never Gonna Get Enough,chicago-house,124.126,0.755,0.837,0.798,4ic8gCPbXXV9iRkSGDJrrA
Candi Staton,You Got the Love,chicago-house,113.013,0.632,0.936,0.598,2EbRDRLE1ZRMWMjXk8Ba3U
Goldie,Inner City Life - Baby Boy's Edit,chicago-house,95.961,0.327,0.606,0.153,6mJb8G16Y65z3Xsl4IXxYt
dj funk,Work Dat Big Booty,chicago-house,152.107,0.873,0.901,0.729,3PBvmtqRo7meKUjUsOzGSl
Ben Klock,Similarity,chicago-house,124.998,0.796,0.584,0.0381,53zxsR8o2JlaG70odHYmxd
